Station_ID,Station_Name,Line,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
451,86th St,"4,5,6",Manhattan,"65,634","65,948","64,793","45,882","43,169","43,282",+113,+0.3%,20
452,York St,F,Brooklyn,"8,973","9,328","10,246","10,373","11,032","12,638","+1,606",+14.6%,124
453,High St,"A,C",Brooklyn,"8,174","8,479","8,701","9,215","10,281","10,776",+495,+4.8%,147
454,Lafayette Ave,C,Brooklyn,"4,857","4,849","4,888","4,843","4,889","4,928",+39,+0.8%,290
455,President St,"2,5",Brooklyn,"4,092","4,120","4,114","4,113","4,019","3,558",-461,-11.5%,346
456,Woodlawn,4,Bronx,"7,683","7,637","7,623","7,260","6,937","6,680",-257,-3.7%,230
457,Bleecker St,,,,,,,,,,,
458,103rd St,6,Manhattan,"16,641","13,057","13,994","14,337","13,285","13,218",-67,-0.5%,117
459,Euclid Ave,"A,C",Brooklyn,"10,652","11,014","10,870","10,751","10,191","10,119",-72,-0.7%,159
460,88th St,A,Queens,"2,065","3,464","3,221","2,965","2,835","2,860",+25,+0.9%,375
461,Cortelyou Rd,Q,Brooklyn,"5,727","6,220","6,332","6,348","6,276","6,319",+43,+0.7%,245
462,116th St,6,Manhattan,"16,674","16,702","16,707","15,899","14,715","14,394",-321,-2.2%,106
463,Parkchester,6,Bronx,"17,746","16,572","16,561","16,310","15,660","15,427",-233,-1.5%,94
464,Franklin St,1,Manhattan,"5,867","5,825","5,984","5,809","5,943","5,370",-573,-9.6%,278
465,80th St,A,Queens,"4,664","4,445","3,574","4,416","4,316","4,274",-42,-1.0%,323
466,5th Ave - Bryant Pk,,,,,,,,,,,
467,Spring St,6,Manhattan,"12,327","11,543","11,390","11,019","10,822","11,230",+408,+3.8%,143
468,125th St,"4,5,6",Manhattan,"30,168","30,277","30,024","29,065","27,605","27,231",-374,-1.4%,38
469,Coney Island - Stillwell Av,"D,F,N,Q",Brooklyn,"13,734","14,073","14,098","13,542","13,203","12,819",-384,-2.9%,122
470,34th St - Hudson Yards,7,Manhattan,,"2,064","8,507","10,082","10,789","18,875","+8,086",+75.0%,74
